"","v","J","theta","S"
"676",0.001,15750,31.5,196.324739405798
"677",0.001,15850,31.7,197.568043940224
"678",0.001,15950,31.9,198.811348683814
"679",0.001,16050,32.1,200.05465363266
"680",0.001,16150,32.3,201.297958782951
"681",0.001,16250,32.5,202.541264130969
"682",0.001,16350,32.7,203.784569673087
"683",0.001,16450,32.9,205.027875405768
"684",0.001,16550,33.1,206.271181325558
"685",0.001,16650,33.3,207.514487429087
"686",0.001,16750,33.5,208.757793713065
"687",0.001,16850,33.7,210.001100174281
"688",0.001,16950,33.9,211.244406809598
"689",0.001,17050,34.1,212.487713615955
"690",0.001,17150,34.3,213.731020590361
"691",0.001,17250,34.5,214.974327729894
"692",0.001,17350,34.7,216.217635031699
"693",0.001,17450,34.9,217.460942492988
"694",0.001,17550,35.1,218.704250111036
"695",0.001,17650,35.3,219.947557883179
"696",0.001,17750,35.5,221.190865806813
"697",0.001,17850,35.7,222.434173879393
"698",0.001,17950,35.9,223.677482098431
"699",0.001,18050,36.1,224.920790461493
"700",0.001,18150,36.3,226.164098966199
"701",0.001,18250,36.5,227.407407610221
"702",0.001,18350,36.7,228.650716391284
"703",0.001,18450,36.9,229.894025307158
"704",0.001,18550,37.1,231.137334355664
"705",0.001,18650,37.3,232.38064353467
"706",0.001,18750,37.5,233.623952842088
"707",0.001,18850,37.7,234.867262275875
"708",0.001,18950,37.9,236.110571834031
"709",0.001,19050,38.1,237.353881514598
"710",0.001,19150,38.3,238.597191315658
"711",0.001,19250,38.5,239.840501235335
"712",0.001,19350,38.7,241.08381127179
"713",0.001,19450,38.9,242.327121423222
"714",0.001,19550,39.1,243.570431687868
"715",0.001,19650,39.3,244.813742063999
"716",0.001,19750,39.5,246.057052549922
"717",0.001,19850,39.7,247.300363143978
"718",0.001,19950,39.9,248.543673844543
"719",0.001,20050,40.1,249.786984650022
"720",0.001,20150,40.3,251.030295558853
"721",0.001,20250,40.5,252.273606569507
"722",0.001,20350,40.7,253.516917680483
"723",0.001,20450,40.9,254.760228890308
"724",0.001,20550,41.1,256.003540197541
"725",0.001,20650,41.3,257.246851600767
"726",0.001,20750,41.5,258.490163098597
"727",0.001,20850,41.7,259.733474689672
"728",0.001,20950,41.9,260.976786372655
"729",0.001,21050,42.1,262.220098146239
"730",0.001,21150,42.3,263.463410009137
"731",0.001,21250,42.5,264.70672196009
"732",0.001,21350,42.7,265.950033997859
"733",0.001,21450,42.9,267.193346121232
"734",0.001,21550,43.1,268.436658329017
"735",0.001,21650,43.3,269.679970620044
"736",0.001,21750,43.5,270.923282993165
"737",0.001,21850,43.7,272.166595447254
"738",0.001,21950,43.9,273.409907981204
"739",0.001,22050,44.1,274.653220593929
"740",0.001,22150,44.3,275.896533284362
"741",0.001,22250,44.5,277.139846051456
"742",0.001,22350,44.7,278.383158894181
"743",0.001,22450,44.9,279.626471811528
"744",0.001,22550,45.1,280.869784802503
"745",0.001,22650,45.3,282.113097866132
"746",0.001,22750,45.5,283.356411001457
"747",0.001,22850,45.7,284.599724207536
"748",0.001,22950,45.9,285.843037483446
"749",0.001,23050,46.1,287.086350828277
"750",0.001,23150,46.3,288.329664241136
"751",0.001,23250,46.5,289.572977721146
"752",0.001,23350,46.7,290.816291267444
"753",0.001,23450,46.9,292.059604879182
"754",0.001,23550,47.1,293.302918555527
"755",0.001,23650,47.3,294.54623229566
"756",0.001,23750,47.5,295.789546098774
"757",0.001,23850,47.7,297.032859964078
"758",0.001,23950,47.9,298.276173890793
"759",0.001,24050,48.1,299.519487878153
