"","v","J","theta","S"
"403",0.421,450,378.9,296.884845116485
"404",0.431,450,387.9,299.010342758416
"405",0.001,550,1.1,7.40824003761657
"406",0.011,550,12.1,46.9416552034268
"407",0.021,550,23.1,74.6628050694075
"408",0.031,550,34.1,97.3436662978301
"409",0.041,550,45.1,116.815053518973
"410",0.051,550,56.1,133.968097975252
"411",0.061,550,67.1,149.331496489492
"412",0.071,550,78.1,163.254677741833
"413",0.081,550,89.1,175.985082441563
"414",0.091,550,100.1,187.706571339358
"415",0.101,550,111.1,198.560710068899
"416",0.111,550,122.1,208.659526408413
"417",0.121,550,133.1,218.093624198143
"418",0.131,550,144.1,226.937590406499
"419",0.141,550,155.1,235.253736659557
"420",0.151,550,166.1,243.094769965073
"421",0.161,550,177.1,250.505749451728
"422",0.171,550,188.1,257.525552180696
"423",0.181,550,199.1,264.18799240652
"424",0.191,550,210.1,270.522690573107
"425",0.201,550,221.1,276.555757947499
"426",0.211,550,232.1,282.310343037201
"427",0.221,550,243.1,287.807072760076
"428",0.231,550,254.1,293.064412347827
"429",0.241,550,265.1,298.098961709142
"430",0.001,650,1.3,8.64161137136526
"431",0.011,650,14.3,55.3852414917693
"432",0.021,650,27.3,88.149407173609
"433",0.031,650,40.3,114.956095557797
"434",0.041,650,53.3,137.96951805844
"435",0.051,650,66.3,158.242945021633
"436",0.061,650,79.3,176.401241598062
"437",0.071,650,92.3,192.857388654803
"438",0.081,650,105.3,207.903827309176
"439",0.091,650,118.3,221.757854800305
"440",0.101,650,131.3,234.586781171561
"441",0.111,650,144.3,246.523006899985
"442",0.121,650,157.3,257.673612513388
"443",0.131,650,170.3,268.126749003396
"444",0.141,650,183.3,277.956059776869
"445",0.151,650,196.3,287.22383705584
"446",0.161,650,209.3,295.983334446393
"447",0.001,750,1.5,9.87737362749371
"448",0.011,750,16.5,63.8291093406427
"449",0.021,750,31.5,101.636156914188
"450",0.031,750,46.5,132.568624695851
"451",0.041,750,61.5,159.124057950888
"452",0.051,750,76.5,182.517852478538
"453",0.061,750,91.5,203.471037050064
"454",0.071,750,106.5,222.460142662459
"455",0.081,750,121.5,239.822609799261
"456",0.091,750,136.5,255.809171603871
"457",0.101,750,151.5,270.612882176353
"458",0.111,750,166.5,284.386514466644
"459",0.121,750,181.5,297.253625538786
"460",0.001,850,1.7,11.1147688120766
"461",0.011,850,18.7,72.2731595164341
"462",0.021,850,35.7,115.123002204565
"463",0.031,850,52.7,150.181218467248
"464",0.041,850,69.7,180.278646603891
"465",0.051,850,86.7,206.79279902603
"466",0.061,850,103.7,230.540865078061
"467",0.071,850,120.7,252.062924555439
"468",0.081,850,137.7,271.741416633654
"469",0.091,850,154.7,289.860509982324
"470",0.001,950,1.9,12.3533258908461
"471",0.011,950,20.9,80.717334505757
"472",0.021,950,39.9,128.609912880304
"473",0.031,950,58.9,167.793856464316
"474",0.041,950,77.9,201.433268620615
"475",0.051,950,96.9,231.067772320356
"476",0.061,950,115.9,257.610715395272
